Compound	RNA.molecule	Compound.CID
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-18a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-193a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-193b	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-20a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-20b	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-218-2	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-219-1	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-21	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-22	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-23a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-23b	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-24-1	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-24-2	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-25	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-27a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-27b	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-28	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-299	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-339	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-365-1	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-365-2	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-382	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-409	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-432	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-493	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-495	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-517c	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-92a-2	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-93	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-99a	400634
10-(diiodomethylene)-9(10)-phenanthrenone	hsa-mir-99b	400634
10-edam	hsa-mir-129-2	54586
10-edam	hsa-mir-135a-1	54586
10-edam	hsa-mir-188	54586
10-edam	hsa-mir-296	54586
10-edam	hsa-mir-324	54586
10-edam	hsa-mir-377	54586
10-edam	hsa-mir-497	54586
10-edam	hsa-mir-501	54586
10-edam	hsa-mir-505	54586
10-edam	hsa-mir-513a-2	54586
10-edam	hsa-mir-518a-2	54586
10-edam	hsa-mir-521-1	54586
(-)-10(s)-isothiocyanoalloaromadendrane	hsa-mir-33b	383471
(-)-10(s)-isothiocyanoalloaromadendrane	hsa-mir-363	383471
(-)-10(s)-isothiocyanoalloaromadendrane	hsa-mir-377	383471
(-)-10(s)-isothiocyanoalloaromadendrane	hsa-mir-518a-2	383471
(-)-10(s)-isothiocyanoalloaromadendrane	hsa-mir-95	383471
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-let-7a-1	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-let-7a-3	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-let-7b	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-let-7c	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-let-7d	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-let-7e	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-100	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-106a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-10a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-10b	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-125a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-142	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-18a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-193b	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-20a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-20b	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-23a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-23b	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-24-1	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-24-2	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-25	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-27a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-27b	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-28	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-92a-2	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-9-3	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-93	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-99a	219573
"1,1,3-tribromo-3-methyl-2-butanone"	hsa-mir-99b	219573
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-let-7a-1	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-let-7a-3	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-let-7c	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-100	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-105-2	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-106a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-10b	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-125a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-125b-1	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-125b-2	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-142	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-146b	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-151	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-18a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-193a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-19b-1	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-19b-2	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-20a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-20b	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-21	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-22	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-23a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-23b	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-24-1	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-24-2	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-25	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-27a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-27b	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-28	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-339	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-365-1	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-92a-1	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-92a-2	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-93	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-99a	380477
"1,1-diiodo-2,2-dimethoxy-2-phenylethane"	hsa-mir-99b	380477
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-let-7a-1	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-let-7c	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-10a	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-10b	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-125a	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-141	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-142	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-15a	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-200b	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-219-1	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-21	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-222	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-22	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-23a	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-23b	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-24-1	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-24-2	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-27a	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-27b	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-28	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-30a	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-30c-2	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-30d	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-30e	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-31	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-339	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-34c	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-365-2	3004012
"1,1-dimethyl-5-(2-naphthalenyl)dithiobiuret"	hsa-mir-99b	3004012
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-100	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-106a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-10a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-10b	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-125a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-125b-1	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-125b-2	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-134	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-142	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-16-2	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-17	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-18a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-193a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-193b	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-195	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-20a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-20b	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-219-1	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-21	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-22	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-23a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-23b	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-24-1	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-24-2	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-25	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-27a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-27b	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-28	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-339	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-92a-1	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-92a-2	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-93	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-99a	371271
"11h-benzo[a]carbazole-1,4-dione, 7,11-dimethyl-"	hsa-mir-99b	371271
1-(1h-indazol-3-yl)-3-[2-(trifluoromethoxy)phenyl]urea	hsa-mir-10b	25197926
1-(1h-indazol-3-yl)-3-[2-(trifluoromethoxy)phenyl]urea	hsa-mir-125a	25197926
1-(1h-indazol-3-yl)-3-(4-methoxyphenyl)urea	hsa-mir-219-1	25197519
1-(1h-indazol-3-yl)-3-(4-methoxyphenyl)urea	hsa-mir-23a	25197519
1-(1h-indazol-3-yl)-3-(4-methoxyphenyl)urea	hsa-mir-23b	25197519
1-(1h-indazol-3-yl)-3-(4-methoxyphenyl)urea	hsa-mir-24-1	25197519
1-(1h-indazol-3-yl)-3-(4-methoxyphenyl)urea	hsa-mir-24-2	25197519
1-(1h-indazol-3-yl)-3-(4-methoxyphenyl)urea	hsa-mir-27b	25197519
11-hydroxy aclacinomycin x	hsa-let-7a-1	438789
11-hydroxy aclacinomycin x	hsa-let-7a-3	438789
11-hydroxy aclacinomycin x	hsa-let-7d	438789
11-hydroxy aclacinomycin x	hsa-mir-100	438789
11-hydroxy aclacinomycin x	hsa-mir-10b	438789
11-hydroxy aclacinomycin x	hsa-mir-125b-1	438789
11-hydroxy aclacinomycin x	hsa-mir-125b-2	438789
11-hydroxy aclacinomycin x	hsa-mir-130a	438789
11-hydroxy aclacinomycin x	hsa-mir-130b	438789
11-hydroxy aclacinomycin x	hsa-mir-142	438789
11-hydroxy aclacinomycin x	hsa-mir-151	438789
11-hydroxy aclacinomycin x	hsa-mir-153-2	438789
11-hydroxy aclacinomycin x	hsa-mir-181b-1	438789
11-hydroxy aclacinomycin x	hsa-mir-221	438789
11-hydroxy aclacinomycin x	hsa-mir-222	438789
11-hydroxy aclacinomycin x	hsa-mir-23a	438789
11-hydroxy aclacinomycin x	hsa-mir-23b	438789
11-hydroxy aclacinomycin x	hsa-mir-24-1	438789
11-hydroxy aclacinomycin x	hsa-mir-24-2	438789
11-hydroxy aclacinomycin x	hsa-mir-26a-1	438789
11-hydroxy aclacinomycin x	hsa-mir-26a-2	438789
11-hydroxy aclacinomycin x	hsa-mir-27a	438789
11-hydroxy aclacinomycin x	hsa-mir-27b	438789
11-hydroxy aclacinomycin x	hsa-mir-28	438789
11-hydroxy aclacinomycin x	hsa-mir-29a	438789
11-hydroxy aclacinomycin x	hsa-mir-29b-2	438789
11-hydroxy aclacinomycin x	hsa-mir-29c	438789
11-hydroxy aclacinomycin x	hsa-mir-301a	438789
11-hydroxy aclacinomycin x	hsa-mir-30a	438789
11-hydroxy aclacinomycin x	hsa-mir-30d	438789
11-hydroxy aclacinomycin x	hsa-mir-335	438789
11-hydroxy aclacinomycin x	hsa-mir-34a	438789
11-hydroxy aclacinomycin x	hsa-mir-516a-1	438789
11-hydroxy aclacinomycin x	hsa-mir-517c	438789
11-hydroxy aclacinomycin x	hsa-mir-519a-2	438789
11-hydroxy aclacinomycin x	hsa-mir-99a	438789
11-hydroxy aclacinomycin x	hsa-mir-99b	438789
11-hydroxyusambarine chlorhydrate	hsa-mir-125a	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-151	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-154	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-193a	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-22	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-23a	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-23b	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-24-1	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-24-2	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-27a	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-27b	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-28	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-30a	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-30c-2	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-30d	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-30e	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-365-1	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-365-2	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-431	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-432	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-495	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-517c	401426
11-hydroxyusambarine chlorhydrate	hsa-mir-99b	401426
11-hydroxyvittatine	hsa-let-7b	70682698
11-hydroxyvittatine	hsa-let-7e	70682698
11-hydroxyvittatine	hsa-let-7g	70682698
11-hydroxyvittatine	hsa-let-7i	70682698
11-hydroxyvittatine	hsa-mir-100	70682698
11-hydroxyvittatine	hsa-mir-105-2	70682698
11-hydroxyvittatine	hsa-mir-125a	70682698
11-hydroxyvittatine	hsa-mir-125b-1	70682698
11-hydroxyvittatine	hsa-mir-125b-2	70682698
11-hydroxyvittatine	hsa-mir-127	70682698
11-hydroxyvittatine	hsa-mir-138-1	70682698
11-hydroxyvittatine	hsa-mir-138-2	70682698
11-hydroxyvittatine	hsa-mir-146b	70682698
11-hydroxyvittatine	hsa-mir-152	70682698
11-hydroxyvittatine	hsa-mir-188	70682698
11-hydroxyvittatine	hsa-mir-202	70682698
11-hydroxyvittatine	hsa-mir-218-1	70682698
11-hydroxyvittatine	hsa-mir-218-2	70682698
11-hydroxyvittatine	hsa-mir-219-1	70682698
11-hydroxyvittatine	hsa-mir-221	70682698
11-hydroxyvittatine	hsa-mir-222	70682698
11-hydroxyvittatine	hsa-mir-23a	70682698
11-hydroxyvittatine	hsa-mir-23b	70682698
11-hydroxyvittatine	hsa-mir-24-1	70682698
11-hydroxyvittatine	hsa-mir-24-2	70682698
11-hydroxyvittatine	hsa-mir-296	70682698
11-hydroxyvittatine	hsa-mir-324	70682698
11-hydroxyvittatine	hsa-mir-337	70682698
11-hydroxyvittatine	hsa-mir-33b	70682698
11-hydroxyvittatine	hsa-mir-377	70682698
11-hydroxyvittatine	hsa-mir-431	70682698
11-hydroxyvittatine	hsa-mir-493	70682698
11-hydroxyvittatine	hsa-mir-494	70682698
11-hydroxyvittatine	hsa-mir-495	70682698
11-hydroxyvittatine	hsa-mir-497	70682698
11-hydroxyvittatine	hsa-mir-500	70682698
11-hydroxyvittatine	hsa-mir-502	70682698
11-hydroxyvittatine	hsa-mir-505	70682698
11-hydroxyvittatine	hsa-mir-507	70682698
11-hydroxyvittatine	hsa-mir-518a-2	70682698
11-hydroxyvittatine	hsa-mir-519e	70682698
11-hydroxyvittatine	hsa-mir-95	70682698
11-hydroxyvittatine	hsa-mir-99a	70682698
11-hydroxyvittatine	hsa-mir-99b	70682698
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-100	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-106a	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-10a	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-10b	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-128-1	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-142	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-150	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-181c	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-212	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-23a	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-23b	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-24-1	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-24-2	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-27b	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-28	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-328	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-32	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-33b	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-342	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-370	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-7-1	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-7-3	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-93	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-95	5472499
"11-methoxycarbonylmethylen-11h-indolo[1,2-a]indazole"	hsa-mir-99a	5472499
1-[2-(3-chlorophenyl)-2-oxoethyl]-2-acetylbenzimidazole	hsa-mir-141	46911792
"1,2,4,5-tetrazine, 3,6-bis(1-azetidinyl)-"	hsa-mir-153-2	362170
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-let-7i	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-106b	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-125a	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-129-1	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-129-2	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-130b	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-132	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-135a-1	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-135b	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-153-1	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-185	71218
"1,2,4-triazolidine-3,5-dione, 1,2,4-tri(oxiranylmethyl)-"	hsa-mir-188	71218
